NAME	DESCRIPTION	NonTFH_Rep1	NonTFH_Rep2	TFH_Rep1	TFH_Rep2	GCTFH_Rep1	GCTFH_Rep2	Naive_CD4_T
1110065P20Rik	na	6.02384335502712	6.14309275530508	6.72299443972957	6.20060404404778	6.23647056541338	6.24286708854057	5.66721451856942
1190002F15Rik	na	4.46629480750046	5.11381274704087	3.80510534286203	3.70686890823025	3.52533841250079	3.64908616151594	2.85972056071048
1190002N15Rik	na	7.41563237238039	7.08945671430848	6.80129335565371	7.27218288077768	7.0301241181242	7.09934791008547	6.43707832675737
1190003K10Rik	na	2.72245934722834	2.72245934722834	2.75951464575468	3.06363985987491	2.87174883630116	3.17161978937164	2.90999658034524
1190005I06Rik	na	5.71899911741722	5.71899911741722	5.88327024379258	6.04533113809839	5.51778360309132	5.76465714454712	5.09144823688838
1190007I07Rik	na	7.02077159079131	7.63106252388282	8.10831004465498	7.99511603036216	7.9271746948889	7.97350014647651	8.00878363762627
1200003I10Rik	na	13.1663144485332	13.1044701731578	13.2196308161009	13.2209560259335	13.2054160979334	13.2054160979334	13.4358312429105
1200007C13Rik	na	4.21239776063703	3.77306375733001	3.91992039975995	3.7861787606987	3.54748965862317	3.91992039975995	4.09711991900125
1200014J11Rik	na	9.80774886964397	9.9209884210992	9.90274395472529	9.80774886964397	9.80774886964397	9.61200301267545	9.75603458324827
1200015M12Rik	na	12.1413260352739	12.1002143140857	12.2399555851164	12.2274756825581	12.0969612687909	12.1575595561017	12.2849774435414
1300002E11Rik	na	6.3616937963145	6.36057285958172	6.52515809389854	6.51422264608666	6.34453322838704	6.04232072361841	6.81050349481705
1300002K09Rik	na	2.21386033760665	2.42406874005613	2.32609452815313	2.21386033760665	2.21386033760665	2.12511591912	2.09467110773309
1300014J16Rik	na	3.27203220870276	2.92225232270964	3.66003174518808	3.27753421432227	4.32942605578718	3.86584186186081	3.43111628966495
1300017J02Rik	na	3.93343080562053	3.91992039975995	4.18915111394591	3.91992039975995	3.70835211776243	3.83536109217522	3.54135363281952
130004C03	na	4.40891765061681	3.16453990888506	4.40077095672224	4.65791114185935	4.07739393310332	4.3478573624644	4.29312387621758
1500002C15Rik	na	5.38037468820843	5.65118274295881	5.44847684315507	5.22936074373315	5.50669155360322	5.28050771217452	5.72290660809628
1500002F19Rik	na	4.24514134625345	4.03876365712077	3.95072181246843	4.16291856458784	4.57851305231764	4.24514134625345	4.61003875777751
1500002I01Rik	na	3.10382275114634	3.31961864659829	3.0700148024924	3.10382275114634	3.10382275114634	3.10382275114634	3.10382275114634
1500002K03Rik	na	4.93253613831358	4.9851939203183	5.10700950615872	4.9851939203183	4.89142116921747	4.9851939203183	5.42488797358232
1500004A13Rik	na	7.51533821009349	7.45440257651204	7.89163204812614	7.89889319113805	8.28973245659104	8.14733040116997	7.98692412117952
1500004F05Rik	na	5.38246150748415	5.268726624041	5.17400051575764	5.06745534955466	4.99575559243739	5.17400051575764	5.17400051575764
1500005C15Rik	na	3.86138687479483	3.93343080562053	4.04705147996981	3.93343080562053	3.99135939044295	3.93343080562053	3.93343080562053
1500009C09Rik	na	2.21689641199302	3.05608288005064	2.97396405293866	3.00065860011081	2.50704181238118	2.58382831066668	2.87843329585088
1500009L16Rik	na	9.71079275891301	9.3574663348347	5.96230727156415	6.69987063140748	5.30502650008818	5.391608820486	4.37435222170788
1500011B03Rik	na	7.30953721520962	8.07915308171364	7.17623032414784	7.21461455382922	7.27755826222759	7.00399600644373	7.25198103778094
1500011K16Rik	na	9.87587033380252	9.81623235093534	10.4916874217044	10.3719705030306	10.5884441800141	10.642788607355	10.281385770715
1500012F01Rik	na	9.62225848617992	9.58219922291985	9.77171454170682	9.67047726187627	9.67244254816385	9.83696209990349	9.48130169582825
1500015A07Rik	na	6.38422966143892	5.37112513823317	6.31558547464352	5.45673415466511	5.65604960864291	5.69382129908091	5.88788820792101
1500015O10Rik	na	3.43298327186807	4.02371389022763	3.823470658783	3.27203220870276	3.41749646717001	3.53637920057717	4.64669970601289
1500017E21Rik	na	1.49782404258823	1.31341883754517	1.49782404258823	1.58537211622673	1.20403998299035	1.63632585859854	1.49782404258823
1500032P08Rik	na	5.1260928323789	4.13258878761861	5.49053753338961	5.31642781221901	6.36924776826706	5.09177773409202	6.18683644218706
1500035N22Rik	na	4.02371389022763	4.02371389022763	3.95570092413486	4.02371389022763	4.05995661911725	4.02371389022763	4.3867726265004
1520401O13Rik	na	4.29174416958527	4.59538823340412	4.14931019043242	3.9325358027845	4.24726308506108	4.10909596580797	4.25062920048916
1600002H07Rik	na	6.59567811733843	5.9606401460466	6.34926641328113	6.53487869849934	6.0348446113408	6.17432172186681	6.28684895199753
1600002K03Rik	na	7.04569328736142	7.03334755698619	7.10867711460132	7.03334755698619	7.01844265713384	7.03154328996928	6.58434597995863
1600010M07Rik	na	4.76031944457005	4.53675671790888	4.5557720259036	4.5557720259036	4.54891843617198	4.41591252088659	4.27853997626579
1600012H06Rik	na	7.68608125257762	7.27703070203593	7.94043052275747	7.97540818629977	7.12845837905933	7.53662232494406	8.07222831508458
1600012P17Rik	na	3.84099313209125	4.58452917556873	4.05378081740233	3.80968305660538	4.04789737038909	4.17863198336389	4.50294416188768
1600014C10Rik	na	9.02122376746077	8.9473387318229	9.19090751529265	9.04558476245705	8.75927545989136	9.02122376746077	9.29288456161375
1600014C23Rik	na	3.59849903231722	3.91992039975995	3.7819712031598	3.86584186186081	3.86584186186081	3.86584186186081	3.90376666707228
1600014K23Rik	na	3.70686890823025	3.80968305660538	3.90399161916236	3.80968305660538	3.76532229910935	3.93343080562053	3.66892883588135
1600015I10Rik	na	3.56604489736933	3.58821886564922	3.56604489736933	3.42999951692384	3.53697438360196	3.56604489736933	3.56604489736933
1600020E01Rik	na	8.19121491855857	8.46848360947987	8.03627592256981	8.19121491855857	8.17828275322741	8.1545064357138	8.92034657005332
1600022D10Rik	na	4.0817015620963	4.32351280705302	4.05496976620029	4.13616897999365	4.0110078918999	4.08510762451747	4.6149062063018
1600023N17Rik	na	4.50800351824432	4.03911560939931	3.91992039975995	3.71048097856142	4.10770428123488	3.8560992711637	4.80546647680155
1600025M17Rik	na	2.94181945525286	2.94181945525286	2.61387191279564	2.94181945525286	3.31670663975119	3.05173085267134	3.17480006484514
1600029I14Rik	na	3.56604489736933	3.39059793113807	3.37326222456614	3.30434474738338	4.11505284681799	3.59901241676183	3.56604489736933
1600029O15Rik	na	4.18634273322052	4.54061433703839	4.24514134625345	4.27052408407297	4.19549205167726	4.27052408407297	4.54239342833466
1700001C02Rik	na	2.99041252651374	3.08066476193907	3.04424659172936	3.08066476193907	3.08066476193907	3.08066476193907	3.08066476193907
1700001C19Rik	na	4.40909543999269	4.40909543999269	4.39457155045319	4.52372332673392	4.40909543999269	4.26999599087267	4.51701419223148
1700001D01Rik	na	2.3302829638442	3.43584877117069	3.39149728663786	2.7435399745313	3.10382275114634	3.75285401307417	2.86875996786532
1700001F09Rik	na	2.3621369683317	2.3621369683317	2.3621369683317	2.17612861787626	2.3621369683317	2.3621369683317	2.48706977617881
1700001G11Rik	na	2.99371421902944	3.93211473369306	3.63561311286909	4.30688722206485	4.37177482381675	4.31224616570383	3.53223254737515
1700001G17Rik	na	4.34418749181563	4.50130568354209	4.78295480307298	4.60257908746813	4.78295480307298	4.83573878354469	5.71329793303381
1700001J04Rik	na	3.90679210203086	3.87921477451068	3.90679210203086	3.76628535841187	3.90679210203086	3.90679210203086	4.04179866941329
1700001K19Rik	na	4.4919816332842	4.70558808489439	4.66877430540176	3.62254034326549	4.38958474102987	4.4919816332842	4.54424865942907
1700001L05Rik	na	3.24985027275324	3.1779611717252	3.21477689259705	3.44169693383461	3.27831851555932	3.04529016665914	3.21477689259705
1700001L19Rik	na	2.72193192994682	2.58273791237787	2.9030151777393	2.72193192994682	2.67577107718401	2.48352373506382	2.80005703410134
1700001O22Rik	na	4.18342964627369	4.73596590028078	3.93979646901244	4.3693094123469	4.08503702535111	3.78112307797871	3.10569212631702
1700001P01Rik	na	4.52908241282546	4.67832661744658	4.87108733781585	4.55646597769896	4.67832661744658	4.41736652857894	5.13347480566596
1700003D09Rik	na	3.35826583133598	3.35826583133598	3.4844398356725	3.4844398356725	3.4844398356725	3.4844398356725	3.32461282519842
1700003E16Rik	na	5.02855615367554	5.30939744425558	4.97031944819607	5.02855615367554	4.86303861207468	4.89966549782104	5.22541678131723
1700003E24Rik	na	3.00865025469319	3.31743600759464	2.67952024253002	2.84469616095396	2.84469616095396	2.60680108372848	2.84469616095396
1700003F12Rik	na	4.62488214025698	4.7619962607784	4.80749853709559	4.43225025073585	4.2447507082462	4.49795783294522	4.62488214025698
1700003G18Rik	na	2.15197266255814	2.75951464575468	2.75951464575468	2.9277241033111	2.75951464575468	2.75951464575468	2.49204878515607
1700003H04Rik	na	2.12595609892226	2.20037325610548	2.08574536936425	1.93201724864362	2.18224683358416	1.72348213079744	1.96709573674091
1700003I16Rik	na	3.77732805243625	3.93343080562053	3.93343080562053	3.7407989160994	3.88641456034007	3.93343080562053	4.0177417524741
1700003M02Rik	na	3.56604489736933	3.87984267005631	3.53939426205618	3.39743041081929	3.46893912451687	3.60135343019061	3.8468048216006
1700003P14Rik	na	4.33937921095013	4.52468794403538	4.39877712077007	4.01688629957055	4.44149230150186	4.38339404989092	4.82718691699889
1700006A11Rik	na	1.76822673288526	1.89897739191531	1.86516944326137	1.54454134936993	1.8202666355842	2.21804448350539	1.62082939708959
1700006E09Rik	na	2.113177801119	1.95936608470421	1.95936608470421	1.95936608470421	1.95936608470421	1.8202666355842	2.23136003176599
1700006F04Rik	na	1.91943345343579	1.89897739191531	2.23993644694619	1.93579311278716	1.93579311278716	1.95226191145466	1.72788059122175
1700006J14Rik	na	1.86912024412436	1.63485070298855	1.85452949832139	1.97849909867918	1.97381411148072	1.86912024412436	1.83939964955916
1700007B14Rik	na	1.91943345343579	2.20037325610548	2.45530460687603	2.08695862484731	2.32159027934939	2.21689641199302	2.55524249657447
1700007E05Rik	na	3.02619734404172	3.46077138246035	3.04971167346589	3.08066476193907	3.08066476193907	2.85036992570601	3.08066476193907
1700007F19Rik	na	1.58922048304854	1.77449033022232	1.93579311278716	1.62819143943694	2.19606424841182	1.70803244503771	1.70803244503771
1700007G11Rik	na	4.31913872698288	4.47652074724369	4.41298744887788	4.31913872698288	4.22918201397308	4.27629615050999	4.31913872698288
1700007J10Rik	na	4.05877550431145	3.696623981391	4.29718369919445	4.31913872698288	4.31913872698288	4.05877550431145	4.55773298167701
1700007J24Rik	na	2.21689641199302	2.61151001948557	2.42296225478972	2.86905122834353	2.72919569057476	2.61151001948557	2.65048097587397
1700007K09Rik	na	2.21689641199302	2.46683083568806	2.32159027934939	2.21689641199302	2.24390048832161	2.34598663866578	2.39436918439173
1700007K13Rik	na	2.74541814740234	2.65655650211672	2.36370021726017	2.65655650211672	2.65655650211672	2.56957844504559	2.96620822145442
1700007L15Rik	na	6.18084776850348	6.58388739898693	7.15000671201562	6.38825711077822	6.77526337323707	6.45774462305245	7.15657125807243
1700008F19Rik	na	4.1635180337728	3.50651424213556	4.0110078918999	3.960759399541	4.08641592656005	2.98570003013133	4.15440835870726
1700008F21Rik	na	3.53223254737515	3.53223254737515	3.62902846822201	3.8248817862467	3.53223254737515	3.27469133851719	3.93477188149611
1700008H02Rik	na	1.73906357689269	1.68730050804545	1.78495320808269	1.97218814735524	1.8202666355842	1.70231684124709	1.86523758122921
1700008I05Rik	na	5.85839218835781	6.20826990036186	6.07134862534696	5.76731493433273	6.47969456371505	6.19413173435625	6.45422440101857
1700008J07Rik	na	6.5070958024152	5.64194927765018	6.15181501625564	5.63597360053224	5.97306309000734	5.74409522861912	6.5873566731369
1700008K24Rik	na	4.37377036374095	4.9851939203183	4.63844618408778	4.43889575331238	4.73654918057244	4.50491208004493	4.81515927542262
1700008N17Rik	na	3.38228573250685	3.38228573250685	3.50768393462338	3.33105791313878	3.22230377951639	3.25611172817033	3.38228573250685
1700008O03Rik	na	5.20995989312621	5.49077838230221	5.30613381533635	5.70468388888261	5.36289922342769	5.40069839472567	5.52227500507104
1700008P02Rik	na	2.54892243201738	2.54892243201738	2.66767083237477	2.54892243201738	2.48250681185848	2.42672191063187	2.68787950726769
1700009J07Rik	na	3.27203220870276	3.63834061720379	2.75951464575468	3.19124455177371	3.27203220870276	3.12679165236409	3.27203220870276
1700009N14Rik	na	2.30820929145741	2.16669011172699	2.10711236937084	2.07446243284017	2.10711236937084	2.23179589086711	2.10711236937084
1700009P17Rik	na	6.24384651066244	6.03525572940443	6.17576497536442	6.17031277573087	6.28382497824645	6.63706552097463	5.36524736356193
1700010B08Rik	na	3.57503519517179	3.83971101551861	4.09583431509747	3.89308624302022	3.84793583095473	3.67935901816949	3.75250796757049
1700010B09Rik	na	4.05524555379696	4.29289588636418	4.10415172905139	3.91992039975995	3.80968305660538	3.94859396063757	3.8298917314983
1700010B13Rik	na	2.89011725277752	3.07121211859663	2.89011725277752	2.89011725277752	2.90663887729505	2.86592767392086	2.94181945525286
1700010D01Rik	na	2.47058215372253	2.47058215372253	2.35505567651956	2.47058215372253	2.47058215372253	2.47058215372253	2.89469041354488
1700010H22Rik	na	3.65000029391167	3.53630242565265	3.51682677174884	3.70686890823025	3.65000029391167	3.77439548166813	3.74454139854011
1700010I14Rik	na	7.24776918339688	6.79063889444891	7.57316105378407	7.65791851563748	7.56788283780979	7.53260528338463	6.55716772047399
1700010L04Rik	na	2.09540487321532	2.3847614093448	2.40624154632496	2.37638405135526	2.20009874057169	2.07446243284017	2.3250774622648
1700010N08Rik	na	3.00569708755443	3.08066476193907	3.26155821344512	3.27203220870276	2.69491050765586	2.76895422130614	3.5944031030512
1700011A15Rik	na	4.6707206125265	4.53152659495755	4.7007978839356	4.6707206125265	4.4869151776217	4.78295480307298	4.6707206125265
1700011B04Rik	na	1.80961910845064	1.95092296154939	1.93579311278716	1.74161631928101	1.93579311278716	1.93579311278716	2.33183613765544
1700011E24Rik	na	2.65204590157177	2.88945243290039	2.75951464575468	2.88945243290039	2.99936383031887	2.85665610877659	3.0963144825017
1700011H14Rik	na	2.5760424749121	2.49381969324648	2.64909902921967	2.49381969324648	2.78802950067316	2.3070342295608	1.97213414528108
1700011I03Rik	na	2.40908103014558	2.97851850907553	3.09519979589186	2.47058215372253	2.71110231409443	2.72380831242217	2.72380831242217
1700011L22Rik	na	2.65829069343813	2.73335613726162	2.61387191279564	2.57275694369953	2.61387191279564	2.61387191279564	2.54055166141927
1700011M02Rik	na	3.57475049945196	4.07056096491278	3.61257993733551	3.80968305660538	3.8277293711059	3.56604489736933	3.89750668940772
1700012A03Rik	na	2.94181945525286	3.20008099212413	2.84762451919698	2.94181945525286	2.89195015704114	3.09410843227686	2.94181945525286
1700012B07Rik	na	4.47878351041961	4.99064888178156	3.79512867730153	4.24514134625345	4.24514134625345	4.24514134625345	3.6722448175967
1700012B09Rik	na	4.28520298973095	3.96176802551609	4.24514134625345	4.27439637019825	4.24514134625345	3.95274711991068	4.58373483761374
1700012D01Rik	na	6.38422966143892	4.96171861469538	6.55969305898877	6.86488072599111	6.58633760090335	6.58593463698527	5.81919465984678
1700012D14Rik	na	4.16534289275885	4.31517287054033	4.77833244695672	4.80115193589753	4.23838716434441	4.96553952403114	5.53864102147883
1700012E03Rik	na	4.12891024831628	4.05102871604268	4.0110078918999	4.05102871604268	4.05102871604268	4.07063036199282	4.05102871604268
1700012I11Rik	na	2.61387191279564	2.59740311412815	2.61387191279564	2.61387191279564	2.61387191279564	2.63152953178366	2.50163772224916
1700012L04Rik	na	4.43362622732081	4.66125126266943	3.88382054644967	3.91667646604193	4.19299606857022	4.24514134625345	4.0063049803777
1700012O15Rik	na	2.54224359066428	2.50239970570244	2.74093033653799	2.53162369426961	2.41260056780584	3.30426270137875	2.53162369426961
1700012P22Rik	na	3.53901942384433	3.61582386927756	3.72132423334252	3.73398484854473	3.68305413052979	3.83538028973763	3.76803626515638
1700013D24Rik	na	2.36645784860954	2.75187819974376	2.48729805642545	2.67110349133025	2.25266640192337	2.99605427133172	2.56007696146779
1700013F07Rik	na	3.85488716158096	4.10909596580797	4.10909596580797	4.16694688262923	4.09711991900125	4.10909596580797	4.0110078918999
1700013G24Rik	na	4.82718691699889	5.29992676363957	4.82718691699889	4.67220399180579	4.86303861207468	4.82718691699889	4.99521804581289
1700013H16Rik	na	1.74914741413383	1.58185844070119	1.70803244503771	1.81647763042855	1.70803244503771	1.65987155360551	1.95233582154742
1700014B07Rik	na	3.25928556289087	3.58596337903023	3.51682677174884	3.51682677174884	3.50435507226235	3.38336448159855	3.53092169700408
1700015C15Rik	na	3.16640331382913	3.29030605792344	3.04424659172936	3.29030605792344	3.29030605792344	3.29030605792344	3.4747112629665
