NAME	DESCRIPTION	TFH_Rep1	TFH_Rep2	TH1_Rep1	TH1_Rep2
Csf1	na	0.658197887089586	0.614403771098911	1.20206332253195	2.55636578075442
Csf1r	na	0.129793974885057	0.296644038936872	0.112414208991312	2.00929607152983
Csf2	na	0	0.196896373838585	0.742275535398282	2.22542557745257
Csf2ra	na	3.49133276249009	3.09487125274923	2.65343981633401	2.72606297897835
Csf2rb	na	0.256257873118536	0.551920864556191	0.347693466665458	1.10632117280247
Csf2rb2	na	0.122406845861608	0.199973804498918	0.126479228952045	0.0330038004994363
Csf3	na	0	0	0	0.549602311662657
Csf3r	na	0.856321839067077	1.51106706961197	0.763346274679281	1.89657843675021
Csk	na	8.06697009566693	7.86251880755478	7.61001925037466	7.75272623254325
Csnk2a1	na	6.02043928083716	5.91785927231202	5.68835596489239	5.63113209670557
Csnk2a2	na	4.31760848199614	4.19512908152772	4.012623216328	3.722144716854
Csnk2b	na	8.81421154525503	8.65875941814076	8.99777474628701	8.83117769194964
Dnajc5	na	6.29220872273999	6.05404180602417	5.84848732426315	5.79016672608922
Vcan	na	0.0298794096667555	0.0979289810263977	0.105206456415735	0.0579201591875221
Smc3	na	5.76947779514193	5.60457898251872	5.53504241964087	5.81369055291464
Csrp1	na	6.64245131405452	6.55629800963024	6.95802230632201	6.73574980932635
Csrp2	na	0.712420125506462	0.74360579761755	1.36478054399564	1.6880214428749
Cst3	na	5.69099795857799	5.82620337827976	6.39784961279797	6.34100538551973
Cst7	na	6.17167883552764	5.74937602893275	6.54280071023997	5.75384111527308
Cstb	na	6.84736033512354	6.78404183401524	6.72325893308875	6.34541083525089
Ctbp1	na	6.23135622566447	6.49404198535094	6.23987266515319	6.46959162497199
Ctbp2	na	0.0673762893411342	0.0540971326899631	0.0598095426984182	0.0751993314427038
Ctcf	na	6.85612434115097	6.77321759741751	6.59061213117307	6.6791645920549
Ctf1	na	0	0.194887647235376	0.180918610779323	0
Ctla2a	na	5.7798584774791	5.44026340501336	8.74879318653508	8.39550504452713
Ctla2b	na	4.91233551833554	4.96268747472558	7.38417029294706	7.61235543230038
Pcyt1a	na	2.97129785204981	2.92065360471044	3.58536017625203	3.49222197602607
Ctsb	na	7.8772859581228	7.84767012721855	7.98079680889662	7.75754036976253
Ctsc	na	4.81818241398959	4.93156549172795	5.36581198060163	5.350389141359
Ctsd	na	7.89218691180907	7.90925181573279	9.06334331114412	8.96077323460128
Ctse	na	8.32150454595758	8.43219310231088	7.84257769905593	7.61032597645242
Ctsg	na	0.326198258385752	0	0	0.262309390898442
Ctsh	na	0.0879473587748564	0.167487042536482	0.0462103563374615	0.504205489334177
Ctsk	na	0.182451632685585	0.0535087876511307	0.143381478726899	0
Ctsl	na	2.36700707598459	2.29084718723557	2.33489064151831	2.70675722957762
Ctss	na	5.30928549232616	5.29195214245423	4.76633685040987	4.51086811413664
Ctsw	na	5.34981957186231	4.73654738484203	6.21664865659025	6.47065665185078
Cttn	na	1.55976294248768	1.28565062833323	0.843813987839278	0.90270037934355
Celf1	na	3.95922505670171	4.12062400622823	3.56332182470192	3.61184473422509
Cux1	na	1.85512834803015	1.78055788063178	1.58661251450246	1.42077494460468
Cx3cr1	na	1.24122832055719	1.10690771462579	1.65501426650282	1.5977290306393
Cxadr	na	0.113614448706705	0.0519352510649254	0.172490460756431	0.124175328792073
Cyb561	na	2.51830495325706	2.29083005642144	2.10103757393849	2.74613308980087
Cyba	na	5.94528875767846	5.75131210119576	7.37108471872878	7.47729242044527
Cybb	na	1.1235150287605	1.69467393222708	0.914843901130166	2.20426534756935
Cycs	na	8.43128935971191	8.31158848880486	8.26919236870161	7.78504033089637
Cyp11a1	na	0.425272152821954	0.625998432887355	0.373086907922479	0.619988208726357
Cyp1a1	na	0	0.0493378222553239	0	0
Cyp1b1	na	0	0	0	0.0924332670338572
Cyp26a1	na	0	0	0	0.365252613107055
Cyp2e1	na	0	0.533292548642133	0.289837118354419	0.311471089937762
Cyp2j5	na	0	0.0150444358572038	0	0
Cyp27b1	na	0	0.112070339325394	0.200675416902619	0.154231083333615
Cyp51	na	6.12834255767325	5.96292861078987	6.03202516005017	6.0311216311804
Dab2	na	0	0	0.0130766153061175	0.0867227432648558
Dach1	na	0	0	0	0.00209351386476523
Dad1	na	5.56240664608643	5.75172961866388	5.84392005677221	4.98666315447108
Cd55	na	3.39808595147139	3.56282671375397	4.14225533128591	3.79849683473537
Dag1	na	1.6923824928767	1.87132842080983	1.5988770464507	1.55085578204963
Dgka	na	9.43787605348672	9.37902463796917	8.6243129459849	8.80409421583606
Dao	na	0	0.0254792728327034	0.0467257761588489	0
Dapk2	na	0.137835302975185	0.096291844345524	0.923109613744658	0.735004713106857
Dapk3	na	5.00049589583818	5.1299013135165	5.05203697373192	4.43632263792853
Daxx	na	9.11199220413165	8.78206940603883	8.39721188782869	8.3746239304595
Dazl	na	0.286811597656834	0.16722782335342	0.261550715123782	0.426990616757121
Dbi	na	5.82849833636951	5.92853366747918	6.43892916181938	6.10364539863012
Dbil5	na	0	0	0.417085137352345	0
Dbnl	na	6.84611440501407	6.75478012798781	7.11929122168354	7.09293086921788
Dbp	na	2.73853101505313	2.43572435717125	1.92116250328828	1.89109945669196
Dbt	na	3.40227653117561	3.13341637241704	2.80527996087578	3.01073460880973
Dbx1	na	0.173849998393289	0	0	0
Dclk1	na	1.37178181317049	1.46229444469331	0.762087778115359	0.591888612901476
Dck	na	7.68712322685755	7.6089506341986	7.21915653316263	7.01735642439989
Dcn	na	0	0	0.0272677969195059	0.0611214575488704
Pcbd1	na	0	0	0.0984370072906347	0
Dscr3	na	4.8222047549143	4.75042563475604	4.54325552477866	4.3452953333925
Dctn1	na	5.4068486390036	5.44851225862293	5.53949365278612	5.84567905610713
Ddb1	na	7.88511506572838	7.94429796878412	7.68178312234686	7.71644847947807
Ddc	na	0.196596609031013	0	0.00900277656524075	0
Asap1	na	3.78494023705904	3.84772287967797	2.08632733283836	1.49954319100229
Gadd45a	na	3.75067632306173	4.45324596034289	4.05554955361663	4.92006225969625
Ddit3	na	5.00908654152093	4.68407141104494	5.05708594712463	5.14183049538138
Ddn	na	0.58114767942793	0.353013393606617	0.751583697276118	0.931601021517773
Ddost	na	7.65616201213844	7.65578076160755	8.19618319995529	7.76507723736849
